,time,id,like,text
32,Tue Nov 30 23:59:49 +0000 2021,1465832972091863044,5770,"Top officials are considering requiring everyone who enters US get tested day before their flight &amp; having all, including US citizens, test again after returning home, regardless of vaccination status, confirming WaPo. Officials are deliberating tonight but no final decision yet."
33,Tue Nov 30 23:59:48 +0000 2021,1465832971353559044,0,@Ralph_MasonJr I hope its not covid 😢🥺
34,Tue Nov 30 23:59:48 +0000 2021,1465832971001204740,0,so many new covid flavors and I still haven’t tried any
35,Tue Nov 30 23:59:48 +0000 2021,1465832970447556609,0,"What Fox News typefolks will never understand is that a Lib like me does not regard Chris Cuomo as an ally, a representative of my politics, nor as a journalist. But go ahead and insist upon that falsely as our voters out-survive Covid on your behalf."
36,Tue Nov 30 23:59:48 +0000 2021,1465832970271477760,0,@Gordon_crp @roisinanna @gavreilly @VirginMediaNews What’s your actual concern? That kids will not develop immunity to Covid if masked or otherwise protected from it? Or that their immune systems in some broader sense will be weaker due to those mitigations?
37,Tue Nov 30 23:59:48 +0000 2021,1465832970116288515,0,"https://t.co/iFDLjfKuEo  A panel of U.S. health advisers on Tuesday narrowly backed a closely watched COVID-19 pill from Merck, setting the stage for a likely authorization of the firs..."
38,Tue Nov 30 23:59:48 +0000 2021,1465832968484704261,0,"@owillis Not surprised, Covid aside if Cuomo could be accused and forced out of office just like that, why would any Santa take the risk?"
39,Tue Nov 30 23:59:47 +0000 2021,1465832966878371845,0,#they’ve been gunning for Africa to have a high percentage of COVID cases from day dot and it’s not happening. Like give it up
40,Tue Nov 30 23:59:47 +0000 2021,1465832966475685894,8,@4Patrick7 South Africa has been doing fine without the jabs. Better than fine. Want to see a Covid wildfire start jabbing everyone. Watch cases soar.
41,Tue Nov 30 23:59:47 +0000 2021,1465832966471692291,1,Omicron brings COVID-19 vaccine inequity 'home to roost' @AP ⁦@mylcheng⁩ ⁦@lhinnant⁩ ⁦@ZekeJMiller⁩  https://t.co/9zlv2pvPvE
42,Tue Nov 30 23:59:47 +0000 2021,1465832966014255117,0,"@FreddyJ06566992 @Pierredollar @KathyConWom I’ve decided that before we can continue discussing masks, I’ll need to have you present your Vaccination Passport. I’ll accept it with 2 shots, no booster yet, but I’ll expect you to present evidence of your booster by Friday. That’s reasonable and plenty of time. Capiche?"
43,Tue Nov 30 23:59:47 +0000 2021,1465832965548777475,0,@Gazbar1980 @RealDeniseWelch How do you know its lies what evidence do you have? The reason we are having a booster jab is simply the previous two do not offer protection. I know so many people that have had covid after two jabs who had no underlying illnesses. One spent 8 weeks in a coma that is fact.
44,Tue Nov 30 23:59:47 +0000 2021,1465832964898627590,37,The most important thing I'd like you to know about the concerns over molnupiravir? They don't apply to our covid19 vaccines.   Our covid-19 vaccines work entirely differently than Merck's covid pill. https://t.co/SgM5B9hWBz
45,Tue Nov 30 23:59:46 +0000 2021,1465832959521472513,0,"@Faiyla Cont6: the answer will only be meaningful at population level; it will not be predictive at the level of the individual. Going back to your question: you probably get the best protection from two doses of moderna spaced 12 weeks apart, then boosted with a third one 6 months later"
46,Tue Nov 30 23:59:44 +0000 2021,1465832954479857668,0,Canda covid ✌🏿
47,Tue Nov 30 23:59:44 +0000 2021,1465832954156883972,3,NYC’s budget is projected to grow to $102.8 billion.  The increase is due to the billions in relief from the feds to cover costs associated with the city’s COVID response and recovery efforts in the wake of Hurricane Ida.  https://t.co/HxWGCFgEmJ
48,Tue Nov 30 23:59:44 +0000 2021,1465832952726802442,1,also before covid i was super scared to explore my identity and start expressing myself via fashion and now i'm a non-binary who has amazing fashion sense
49,Tue Nov 30 23:59:43 +0000 2021,1465832950826774529,0,Parents who want to be present when their child is vaccinated at school is fine. Making it mandatory makes no sense. It is going to slow down #vaccination rates and put a burden on working parents. There will be too many extra people in school buildings which is unsafe #skpoli
50,Tue Nov 30 23:59:43 +0000 2021,1465832948398239750,1,@miles_commodore Three question is that medicine for parasites safe to use for COVID-19 are there side effects and does it cost an arm and a leg
51,Tue Nov 30 23:59:43 +0000 2021,1465832947198615557,0,@Robinthebank4 Covid positivity for unvaccinated is the major focus although vaccinated are actually going in at a high rate.
52,Tue Nov 30 23:59:43 +0000 2021,1465832946724524036,6,Slovenia halts Johnson &amp; Johnson vaccine after fatal jab #FMTNews https://t.co/iwomfxRaj5
53,Tue Nov 30 23:59:42 +0000 2021,1465832945055420432,457,"I’m continually surprised by how many people “know” that Covid is going to turn into something like influenza.   Virologists, immunologists and infectious disease specialists seem to me to be much less confident about this."
54,Tue Nov 30 23:59:42 +0000 2021,1465832944564539394,1,@KimIversenShow Why do you ignore the recent French study that Covid vaccinations are over 90% effective at preventing hospitalization and death?   Covers 23 MILLION people and doesnt rely on anecdotal stories as your COVID segments have. Your new followers may not know!  https://t.co/0oBAfZbhTl
55,Tue Nov 30 23:59:41 +0000 2021,1465832941632770048,64,We gonna have more Covid strains than iPhones in a min.
56,Tue Nov 30 23:59:41 +0000 2021,1465832940236165122,3,Hope covid don’t mess with Bron long term 💯 that’s all
57,Tue Nov 30 23:59:41 +0000 2021,1465832939384545285,0,@upthenua @Plasticdoe @TheFiapokoGuy @gusdafa @jmauli @laniwendtyoung @vaiala I suggest you listen to presentations by the most cited Doctor in the world on Covid with 47 publications. He is also the most published cardiologist in history with over 600 publications. His concerns on the damage the shots are doing it not a good thing.
58,Tue Nov 30 23:59:40 +0000 2021,1465832936876523523,1,"@blahloney42 @madcanadian2017 @ndspinelli @RWMaloneMD Wrong again. Plenty of experts in the field disagree, and several large conferences have been held. Those without monetary ties to patent for profit ""science"" are more trustworthy than companies like Pfizer who have paid record amounts in penalties regarding medical malpractice."
59,Tue Nov 30 23:59:40 +0000 2021,1465832935966359557,8,"In the history of diplomatic relations, Canada for example has never had the no. of reps they now have in Naija. When Covid broke out in 2020, almost all diplomats left fearing that “they will be picking up corpses on our streets”  Everyone of them is back with many relations."
60,Tue Nov 30 23:59:40 +0000 2021,1465832935760838657,0,@HKPROSIQUE Covid
61,Tue Nov 30 23:59:39 +0000 2021,1465832932728266754,2,"Coronavirus: Orange County reported 222 new cases and 15 more deaths, Nov. 30 https://t.co/ee0lkvv2iY"
62,Tue Nov 30 23:59:39 +0000 2021,1465832931553906689,1,@country_still Did u see this  A Maine Republican who fought COVID-19 restrictions and lost his wife to the disease has resigned https://t.co/j7HxGrC0JR
63,Tue Nov 30 23:59:39 +0000 2021,1465832931000262657,0,Pfizer using an active ingredient in Advil FROM CHINA. https://t.co/EO5Aeb6xfm
64,Tue Nov 30 23:59:38 +0000 2021,1465832928408129536,1,"@KSinNE Sure, here's one: https://t.co/USyPZz5jIB"
65,Tue Nov 30 23:59:38 +0000 2021,1465832926344585219,19,@RTENewsPaulC @DonnellyStephen @RTE_PrimeTime @rtenews Oh sweet holy lord GIVE ME PATIENCE. Then ask him how my child has covid .. she goes NOWHERE else … EVER not even as far a shop since March 20 . https://t.co/Zq8dk23tk1
66,Tue Nov 30 23:59:38 +0000 2021,1465832926285869068,0,@rtenews I bet they had covid
67,Tue Nov 30 23:59:38 +0000 2021,1465832926197735426,115,Imagine being in secondary school now with all the menaces you used to have in ur year and the entertainment you would get from them not wearing masks and causing absolute mayhem over the covid haahhahaahahah
68,Tue Nov 30 23:59:37 +0000 2021,1465832925400809481,0,"@donwinslow Yesterday, I received the Covid booster and flu shot. I have a sore arm and headache today, but totally worth it."
69,Tue Nov 30 23:59:37 +0000 2021,1465832924482195460,1,"Getting a covid shot today, reason being is because I wanna travel to palmiston North cause the rents cheaper"
70,Tue Nov 30 23:59:37 +0000 2021,1465832924389916674,2,"not day6 related but WHAT THE FUxK, dear my beloved gov, if you want covid to disappear in indo, you need to do another ppkm or even lockdown (and be strict bout it), not this??? we already stressed enough with pandemic situation, dont make it worse dumbo https://t.co/2xhZLwzhSl"
71,Tue Nov 30 23:59:36 +0000 2021,1465832920841654275,1,@CsFuckingSuck LeVariant got covid
72,Tue Nov 30 23:59:35 +0000 2021,1465832916496355331,1,@keithamccluskey @Gordon_DHG @JohnDublin10 @try2golf @TWTThisIsNow @amcelha3 @CrispyCX @4Clearsky @jimdtweet @Kenneth72712993 @Moderna5G_666 @sandcastle1975 @IngersolRobert @OscarsWild1 @BolzmannMichael @rln_nelson @HalBrow68884227 @AristotleMrs @BigRakaDoc @chimera414 @k_b_lvi @Stephen04880258 @GuyGadboisGuyG1 @thisisnothappen @basil_ireton @The_Ouroboros__ @DavidTaylorYork @GlennCarr6 @DawnTJ90 @EricWil06256732 @wildweatherdan @robhon_ @ejwwest @Tragiicomedy @covid_parent @Canadianworker2 @IanDJbrown2 @Narvuntien @dan613 @Boeing74 @organicdot @oakden_wolf @RobMeekel @25_cycle @sunsnowflowers @BridgetHolmstro @rockandroll432 @MassiMassian @DaveJohn0175 @TheDisproof It gave me what I needed.
73,Tue Nov 30 23:59:35 +0000 2021,1465832914424315909,0,"@Billius27 Shouldn’t we wait given the comments from Moderna’s CEO today? “I think it’s going to be a material drop. I just don’t know how much because we need to wait for the data. But all the scientists I’ve talked to . . . are like, ‘This is not going to be good’.”"
74,Tue Nov 30 23:59:34 +0000 2021,1465832912025231363,0,@danno321s @worktwit629 @zerohedge But Ivermectine is forbidden in many countries to force the covid toxijab.
75,Tue Nov 30 23:59:34 +0000 2021,1465832911525998593,5,"Carlotta Masala: 27-Year-Old Dies From Myocarditis Months After Receiving Pfizer COVID-19 Vaccine, Father Seeks Answers https://t.co/rfukek92hz"
76,Tue Nov 30 23:59:34 +0000 2021,1465832911366758404,0,Sometimes I remember the sound @MelanieScrofano made when I asked her if my hair looked good after she cut it and I just start smiling.  I miss her and all the moments I shared with her so f*cking much 😔  Can covid go away so I can finally go to cons and feel happy again?
77,Tue Nov 30 23:59:34 +0000 2021,1465832911085744131,0,"""An F.D.A. panel endorses Merck’s Covid pill for high-risk adults."" by BY REBECCA ROBBINS AND CARL ZIMMER via NYT https://t.co/vDMwWgtVes #health https://t.co/dkClSwbErt"
78,Tue Nov 30 23:59:34 +0000 2021,1465832909407850499,6,"Check out our podcast on COVID-19! In it, you'll learn about the presentation, investigations, and management of this respiratory infection. The podcast was created by Drs. Gauri Shah and Joan Robinson, pediatric infectious diseases specialists. https://t.co/mp7R6dokBu https://t.co/LsWgqBfW6Y"
79,Tue Nov 30 23:59:34 +0000 2021,1465832909386964996,0,@_225Lee get a rapid covid test today
80,Tue Nov 30 23:59:33 +0000 2021,1465832908309123074,0,"@RomeovilleKid Damn, Covid got the streak"
81,Tue Nov 30 23:59:33 +0000 2021,1465832907235282950,1,"@TomFran45400947 @evelynvioletga Sorry, I always presume I’m talking to someone from the uk. In uk it is only HCW’s who are subjected to mandatory vaccination"
82,Tue Nov 30 23:59:32 +0000 2021,1465832903569518604,1,"Our kids who are at no risk from covid are being put into masks despite most the population of adults being vaccinated or had covid, is down to cowardly people who have complied the whole time."
83,Tue Nov 30 23:59:32 +0000 2021,1465832903443578884,0,WHO advises vulnerable and unvaccinated people against COVID-19 not to travel to epidemiologically dangerous areas https://t.co/kvWvw9wDhH
84,Tue Nov 30 23:59:32 +0000 2021,1465832902994931712,1,Lakers' LeBron James: Enters COVID-19 protocols https://t.co/Hj84GbX4L5
85,Tue Nov 30 23:59:32 +0000 2021,1465832900700647436,2,"@richarddoomed Larry Davis is 100 years old, so even vaccinated, he’s at risk from Covid. Better safe than sorry"
86,Tue Nov 30 23:59:32 +0000 2021,1465832900641841156,2,@LondonDocDave No. Obesity is a risk factor for bad covid outcomes but being unvaccinated is a far bigger risk
87,Tue Nov 30 23:59:31 +0000 2021,1465832900465680386,1,"@PuyulBantsUp @JDavis79742468 Let's look at the United States. 339 million total doses administered... 6,207 Reports of deaths/issues... That's 0.0018% of total vaccine shots administered. Here's the article... https://t.co/LMul1DKZ8N https://t.co/qwmui7um8r"
88,Tue Nov 30 23:59:31 +0000 2021,1465832899245223941,0,"Whatevr you think of modern economics, 'sticky expectations' as a concept has reasonable insight. Beware of making of this a habit!  https://t.co/Ed77QGR7tA"
89,Tue Nov 30 23:59:31 +0000 2021,1465832898267910145,12,New from JSOnline and PackersNews: Packers ILB De'Vondre Campbell lands on COVID-19 list but may not miss any games https://t.co/nNMnYO0sTS #Packers
90,Tue Nov 30 23:59:31 +0000 2021,1465832897257119744,0,1. Age- duh  2. Covid absolutely should not count https://t.co/MXyiI7BwnT
91,Tue Nov 30 23:59:30 +0000 2021,1465832895151591429,0,@NYC_SCA @DOEChancellor @NYCSchools @cristinevaughan @UFT The Occupational Safety and Health Administration (OSHA) is abiding by a court order and suspending enforcement of the Biden administration's COVID-19 vaccine mandate on large private businesses.
92,Tue Nov 30 23:59:30 +0000 2021,1465832894912503815,0,Montreal North: 10% of kids have had Covid https://t.co/8EkkHbqFYI
93,Tue Nov 30 23:59:30 +0000 2021,1465832893805174787,0,@RepSwalwell I am proudly unvaxxed and have had Covid 19. I survived. Stop spreading propaganda and lies. You know what other choice that your children did not have? Their father having sex with a communist spy. Bet you don't want to discuss that though.
94,Tue Nov 30 23:59:30 +0000 2021,1465832892932579329,16,"In another new low, anti-vaccine conspiracists are selling fake vaccine passes on the black market in order to avoid getting vaccinated against COVID-19. https://t.co/w1PFWErGV1"
95,Tue Nov 30 23:59:30 +0000 2021,1465832892249133059,3,I hate covid https://t.co/p3HgSA5c3s
96,Tue Nov 30 23:59:29 +0000 2021,1465832891481575431,0,"@picklezest @NotJonathannnn @KEEMSTAR Our economy didnt crash, the rich did just fine during covid :P"
97,Tue Nov 30 23:59:29 +0000 2021,1465832889648656388,1,"Hey, nightmare hellscape US. Someone we know was SENT HOME from the hospital after finding out she tested Covid positive, IN THE MIDDLE OF LABOR. She is giving birth. At home. Because they sent her home. Covid. She was like 5cm dilated and they told her to leave."
98,Tue Nov 30 23:59:28 +0000 2021,1465832887924707337,0,"@drdavidsamadi Covid testing in Italy is paid by the government. Your ""family of four"" doesn't pay sh*t to get tested.  Stop projecting your country's shortcomings onto others. Just because Italy is also a Western country does not mean that they live in a capitalist dystopia like the US."
99,Tue Nov 30 23:59:28 +0000 2021,1465832885546586121,1,I'm vaccinated but she's not eligible for vaccination just yet. Fuck. And here I've been ignoring my sore throat/cough/fatigue.
100,Tue Nov 30 23:59:28 +0000 2021,1465832884921581568,3,@ctvwinnipeg Next thing you know she’ll start injecting herself with bleach to fight off the covid 🙄
101,Tue Nov 30 23:59:28 +0000 2021,1465832884762071040,16,@Daystar Oh was he an anti-vax anti-science guy and caught COVID? I wouldn't wish it on anyone but those were bad judgments and choices.
102,Tue Nov 30 23:59:27 +0000 2021,1465832883071844355,3,"@FlippinSteve @MarkFriesen08 The fact CoVid exists and is killing plenty of faithful Christians is proof enough for me that a) god is evil or b) god is incapable, and in either case not worthy of worship &amp; adoration. Modern science has performed more “miracles” than faith healers and prayer ever have."
103,Tue Nov 30 23:59:27 +0000 2021,1465832882950352899,0,I’m a covid survivor .. but y’all food smell taste so fucking nasty now! Omg I can’t ever enjoy a good meal
104,Tue Nov 30 23:59:27 +0000 2021,1465832881406816257,468,"Fundamentally, in the heart of hearts? A lot of Christians feel like if you suffer or have bad things happen- you must have secret sin. You see it with Covid + also with school shootings.  This is why we’re leaving your churches in droves. You don’t know how to deal with sorrow."
105,Tue Nov 30 23:59:26 +0000 2021,1465832877971546116,10,"EVERYDAY I come to work, I take care of those who can’t take care of themselves. No matter WHAT they believe in, what they look like, their “vaccination status” I take care of them THE SAME.  If you think, that instilling MORE HATE into this country will fix the problem, ur wrong"
106,Tue Nov 30 23:59:25 +0000 2021,1465832873517322243,0,FDA advisers narrowly endorse Merck's COVID-19 antiviral pill https://t.co/M6ndHNqQVc
107,Tue Nov 30 23:59:25 +0000 2021,1465832872548388864,1,Judge protects healthcare workers ( last years heros!) from the forced vaccination in the United States!!!
108,Tue Nov 30 23:59:25 +0000 2021,1465832871931912192,0,@XXXMEEZY Lebron got covid he out
109,Tue Nov 30 23:59:24 +0000 2021,1465832870371602434,0,"@TED44E ...measures that could/should be taken on a bipartisan basis, by our elected officials, since COVID doesn't know who is red and who is blue. It's sad that it's falling to these agencies to act. Our political system is broken. In times of ""war,"" we used to be able to pull together"
110,Tue Nov 30 23:59:24 +0000 2021,1465832870170312708,21,"Today's five-day total is 1,107 new cases and 14 deaths. There's much we don't know about the new Omicron variant, but what we do know is the best line of defense is vaccination for those who have yet to be vaccinated and boosters for those who are eligible."
111,Tue Nov 30 23:59:24 +0000 2021,1465832870086381573,0,"@SkyNews Booster jabs may need a double dose! FFS!! Double the money for Moderna! At this rate, some people will be jabbed close to double figures in 12-18 months!"
112,Tue Nov 30 23:59:24 +0000 2021,1465832869029425160,0,@JilianneParker @pfizer Then maybe she should get a job and leave him 🤣
113,Tue Nov 30 23:59:24 +0000 2021,1465832868920262657,0,We wasted time chasing a vaccination only strategy. https://t.co/1UbJ3S9OnK
114,Tue Nov 30 23:59:24 +0000 2021,1465832867540267008,0,@gillibrandny @SenateDems Does the booster prevent you from getting or spreading Covid?  No… ok just checking.
115,Tue Nov 30 23:59:24 +0000 2021,1465832867225870341,0,"They Called Their Band Omicron. Now They’re Sharing the Name With a Covid Variant  “Whether for the right or wrong reasons, we’ve been getting clicks,"" says guitarist Li Heng Chan of the defunct Hong Kong prog-metal outfit.   ""It’s been a lot to process” https://t.co/mQvHk9Wcq3"
116,Tue Nov 30 23:59:23 +0000 2021,1465832866705653764,0,"@BIG_L0U @papa_gardner11 @yagntwt @savanakaamazing @ale1ovrr We literally had no pitchers at the time and our bullpen was gassed, Loaisiga had COVID, and Chapman had less command than Jordan Hicks so we had to go with Britton"
117,Tue Nov 30 23:59:23 +0000 2021,1465832866168950788,0,@DOEChancellor The Occupational Safety and Health Administration (OSHA) is abiding by a court order and suspending enforcement of the Biden administration's COVID-19 vaccine mandate on large private businesses.
118,Tue Nov 30 23:59:23 +0000 2021,1465832866164609025,0,@CDCgov Good read here.  Imperfect Vaccination Can Enhance the Transmission of Highly Virulent Pathogens:  https://t.co/2LV0eCTiKH
119,Tue Nov 30 23:59:22 +0000 2021,1465832860787560449,0,We're proud to support 💗 Provide international support for COVID-19💗 Donate $20….
120,Tue Nov 30 23:59:22 +0000 2021,1465832860296916992,0,"@IrishTimesOpEd @IrishTimes World health organisation has no idea about what they are doing ? They can not even explain the scource of Covid for 2 years .All they do , advising governments by disease and threatening public ."
121,Tue Nov 30 23:59:21 +0000 2021,1465832857021079558,1,Pretty sad COVID had to go an attach itself to LeBron for clout https://t.co/8cH48zVYAB
122,Tue Nov 30 23:59:21 +0000 2021,1465832856756838402,0,‘General Hospital’ Wraps Up Steve Burton Storyline – Without A Body – Deadline https://t.co/Esu0So3nSt
123,Tue Nov 30 23:59:21 +0000 2021,1465832856454721541,0,"Good morning moots, it's my vaccination day 🥳🥳🥳"
124,Tue Nov 30 23:59:20 +0000 2021,1465832854118486017,3,"@AbundantLandUse @InspiredAquaCA Now that is sounding WAY too sensible. There should have been a gov't program for all public buildings put in place as soon as it was known that COVID was airborne, like from April 2020."
125,Tue Nov 30 23:59:20 +0000 2021,1465832851958546436,1,"@Michell25038442 @JosephFalzoneMD You are completely right about this! Go with your gut. Things are changing because of private equity. Everything they’ve  ever touched his turn to ashes back to dust, and we will need morgue trucks behind a lot of hospitals, way beyond Covid."
126,Tue Nov 30 23:59:19 +0000 2021,1465832849274253314,1,@Taarec10 @_TheRealAlvin_ Ur put in protocol if your exposed to someone with covid. Vaxx or not
127,Tue Nov 30 23:59:19 +0000 2021,1465832847843934213,0,"I know we're a long way off with boosters, but is Mexico going to catch up to the US in terms of fully vaccination portion of the population? Looks like 🇲🇽 50% vs. 🇺🇸 58% right now.  https://t.co/JeMTzUQOEF https://t.co/82WUvg3YH5"
128,Tue Nov 30 23:59:19 +0000 2021,1465832846526849025,1,People are a little *too* excited at the possibility of Bron having covid https://t.co/DvLZz47TE6
129,Tue Nov 30 23:59:18 +0000 2021,1465832844920442881,5,@bees_oz @AlanBixter MSM and Govt have achieved their objective. Covid is so prevalent in schools now that it’s become normalised and parents &amp; teachers have been lulled into thinking it’s not a big deal. Our society has been duped and our kids will pay the price for potentially decades to come.
130,Tue Nov 30 23:59:18 +0000 2021,1465832843058335750,0,Just beat the covid allegations 🙏🏽
131,Tue Nov 30 23:59:17 +0000 2021,1465832841011421188,6,Kentucky's attorney general won a preliminary court order Tuesday to block President Joe Biden’s coronavirus vaccination mandate for federal government contractors and subcontractors. https://t.co/mQk62Rwcyv
132,Tue Nov 30 23:59:17 +0000 2021,1465832840235569159,0,@NYCSchools @DOEChancellor @NYCMayor @nycHealthy @NYCMayorsOffice @nycgov @NYCHealthSystem The Occupational Safety and Health Administration (OSHA) is abiding by a court order and suspending enforcement of the Biden administration's COVID-19 vaccine mandate on large private businesses.
133,Tue Nov 30 23:59:17 +0000 2021,1465832839245611014,42,Federal Judge Issues Nationwide Ban on Biden's COVID Vaccine Mandate for Health Care Workers | CBN News https://t.co/4vQjzVX4u1 via @CBNNews
